Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\03_raw\Grad090_LFQ_A_01.mzML.dia	F:\03_raw\Grad090_LFQ_A_02.mzML.dia	F:\03_raw\Grad090_LFQ_A_04.mzML.dia	F:\03_raw\Grad090_LFQ_A_05.mzML.dia	F:\03_raw\Grad090_LFQ_B_01.mzML.dia	F:\03_raw\Grad090_LFQ_B_02.mzML.dia	F:\03_raw\Grad090_LFQ_B_03.mzML.dia	F:\03_raw\Grad090_LFQ_B_04.mzML.dia
A0A024RBG1;Q9NZJ9	A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4B_HUMAN;NUDT4_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	338580	348668	311514	294159	380247	348322	354311	357158
A0A0B4J271	A0A0B4J271	TVAL3_HUMAN	TRAV12-3_HUMAN	T cell receptor alpha variable 12-3	1.46527e+06	1.44781e+06	1.52552e+06	1.60971e+06	1.50301e+06	1.50899e+06	1.47509e+06	1.57365e+06
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A_HUMAN;GATD3B_HUMAN	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	3.56253e+06	3.50605e+06	3.57489e+06	3.25387e+06	3.57462e+06	3.77116e+06	3.46477e+06	3.63367e+06
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1_HUMAN	Protein PIGBOS1	1.50075e+06	1.48955e+06	1.45578e+06	852922	1.65875e+06	1.48319e+06	1.53336e+06	1.55412e+06
A0A0U1RRL7	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS_HUMAN	Protein MMP24OS	64582.6							
A0AV96	A0AV96	RBM47_HUMAN	RBM47_HUMAN	RNA-binding protein 47	740480	876972	804978	679027	835295	834162	846596	841025
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6	1.69249e+06	1.69723e+06	1.78645e+06	1.60378e+06	1.71037e+06	1.71516e+06	1.68087e+06	1.68748e+06
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2_HUMAN	Extended synaptotagmin-2	1.65777e+06	1.7504e+06	1.77806e+06	1.52062e+06	1.70022e+06	1.75409e+06	1.71606e+06	1.73022e+06
A0JLT2	A0JLT2	MED19_HUMAN	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19	394418	394297	380766	323313	377153	364978	278439	402374
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1_HUMAN	Shootin-1	1.66011e+06	1.48756e+06	1.43846e+06	1.45414e+06	1.78965e+06	1.75398e+06	1.74531e+06	1.87134e+06
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223_HUMAN	Transmembrane protein 223	1.407e+06	1.60836e+06	1.68018e+06	1.27684e+06	1.58085e+06	1.535e+06	1.44918e+06	1.68045e+06
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL_HUMAN	2-hydroxyacyl-CoA lyase 2	2.36436e+06	2.54464e+06	2.44093e+06	2.24653e+06	2.61826e+06	2.49442e+06	2.53509e+06	2.40925e+06
A1L390	A1L390	PKHG3_HUMAN	PLEKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3	64487	104909	110673	106766	92655.3	65586.8	92679.3	86664.7
